GPS Time, Device Time, Longitude, Latitude,GPS Speed(km/h), Horizontal Dilution of Precision, Altitude(m), Bearing, Gravity X(G), Gravity Y(G), Gravity Z(G),
Sat Dec 28 09:55:34 GMT-05:00 2024,28-dic-2024 09:55:34.501,-73.61973538063467,4.171983925625682,53.603996382713376,2.5,438.0,36.20000076293945,0.09,0.92,0.27,
Sat Dec 28 09:55:35 GMT-05:00 2024,28-dic-2024 09:55:35.502,-73.61965860240161,4.172094608657062,53.74799624156958,2.5,438.0,36.79999923706055,0.07,0.92,0.25,
Sat Dec 28 09:55:36 GMT-05:00 2024,28-dic-2024 09:55:36.502,-73.6195779684931,4.172200094908476,53.17199680614476,2.5,438.0,36.400001525878906,0.09,0.91,0.3,
Sat Dec 28 09:55:37 GMT-05:00 2024,28-dic-2024 09:55:37.504,-73.61949540674686,4.172304407693446,52.055998758316036,2.5,438.0,39.099998474121094,0.08,0.89,0.28,
Sat Dec 28 09:55:39 GMT-05:00 2024,28-dic-2024 09:55:39.506,-73.61933070234954,4.17250984814018,53.38799831104279,2.5,437.0,39.599998474121094,0.07,0.91,0.28,
Sat Dec 28 09:55:40 GMT-05:00 2024,28-dic-2024 09:55:40.507,-73.61924529075623,4.1726122330874205,52.01999793529512,2.5,437.0,40.099998474121094,0.05,0.89,0.27,
Sat Dec 28 09:55:41 GMT-05:00 2024,28-dic-2024 09:55:41.507,-73.6191603820771,4.172713402658701,52.415996688842824,2.5,437.0,39.79999923706055,0.08,0.89,0.29,
Sat Dec 28 09:55:42 GMT-05:00 2024,28-dic-2024 09:55:42.507,-73.61907857470214,4.172815661877394,51.9479962892533,2.5,437.0,39.20000076293945,0.07,0.88,0.3,
Sat Dec 28 09:55:43 GMT-05:00 2024,28-dic-2024 09:55:43.508,-73.61899685114622,4.172914945520461,50.975998100280776,2.5,436.0,39.900001525878906,0.05,0.89,0.3,
Sat Dec 28 09:55:44 GMT-05:00 2024,28-dic-2024 09:55:44.508,-73.61891546286643,4.173013768158853,50.54399852371216,2.5,436.0,40.0,0.06,0.89,0.27,
Sat Dec 28 09:55:45 GMT-05:00 2024,28-dic-2024 09:55:45.508,-73.61883491277695,4.173109992407262,48.77999596118934,2.5,435.0,39.20000076293945,0.09,0.9,0.29,
